avg_frame_rate,bit_rate,bits_per_raw_sample,chroma_location,codec_long_name,codec_name,codec_tag,codec_tag_string,codec_time_base,codec_type,coded_height,coded_width,color_primaries,color_range,color_space,color_transfer,display_aspect_ratio,disposition,duration,duration_ts,has_b_frames,height,index,is_avc,level,nal_length_size,nb_frames,pix_fmt,profile,r_frame_rate,refs,sample_aspect_ratio,start_pts,start_time,tags,time_base,width,class
25/1,71877,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",18.960000,242688,2,480,0,true,30,4,474,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
24/1,119016,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/48,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",26.333333,323584,2,720,0,true,31,4,632,yuv444p,High 4:4:4 Predictive,24/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12288,1280,0.6
25/1,48065,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",14.520000,185856,2,480,0,true,30,4,363,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
25/1,61075,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",13.280000,169984,2,480,0,true,30,4,332,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
30/1,189482,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",22.533333,346112,2,480,0,true,30,4,676,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,640,0.6
30/1,79927,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",14.566667,223744,2,480,0,true,30,4,437,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,640,0.6
30/1,79971,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",22.600000,347136,2,480,0,true,30,4,678,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,640,0.6
30/1,134797,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",13.266667,203776,2,720,0,true,31,4,398,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1280,0.6
30/1,35660,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",14.400000,221184,2,480,0,true,30,4,432,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,640,0.6
30/1,46890,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",46.166667,709120,2,480,0,true,30,4,1385,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,640,0.6
25/1,103051,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",15.600000,199680,2,720,0,true,31,4,390,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,1280,0.6
30/1,39336,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,656,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",14.366667,220672,2,480,0,true,30,4,431,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,654,0.6
30/1,97607,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",10.833333,166400,2,720,0,true,31,4,325,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1280,0.6
25/1,100972,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",22.120000,283136,2,480,0,true,30,4,553,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
25/1,53362,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",12.240000,156672,2,480,0,true,30,4,306,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
30/1,95338,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,1088,1440,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",24.900000,382464,2,1080,0,true,40,4,747,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1440,0.6
25/1,39128,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",12.880000,164864,2,480,0,true,30,4,322,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
30/1,99798,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",10.500000,161280,2,480,0,true,30,4,315,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,640,0.6
30/1,86064,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,848,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",14.466667,222208,2,480,0,true,31,4,434,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,848,0.6
25/1,29925,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,592,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",16.640000,212992,2,480,0,true,30,4,416,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,586,0.6
30/1,353875,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,1088,1920,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",9.900000,152064,2,1080,0,true,40,4,297,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1920,0.6
30/1,133749,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",16.066667,246784,2,720,0,true,31,4,482,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1280,0.6
30/1,169309,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",10.333333,158720,2,720,0,true,31,4,310,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1280,0.6
25/1,68554,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,864,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",32.360000,414208,2,480,0,true,30,4,809,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,854,0.6
30/1,103710,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,960,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",13.566667,208384,2,720,0,true,31,4,407,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,960,0.6
25/1,31290,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",16.920000,216576,2,480,0,true,30,4,423,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
25/1,115635,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",13.480000,172544,2,480,0,true,30,4,337,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,640,0.6
25/1,34685,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,656,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",18.160000,232448,2,480,0,true,30,4,454,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,656,0.6
30/1,66839,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,864,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",10.166667,156160,2,480,0,true,31,4,305,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,854,0.6
30/1,62316,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,480,656,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",20.300000,311808,2,480,0,true,30,4,609,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,654,0.6
25/1,162852,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",21.920000,280576,2,720,0,true,31,4,548,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,1280,0.6
25/1,56579,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,480,656,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",13.960000,178688,2,480,0,true,30,4,349,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,656,0.6
15/1,53566,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/30,video,480,640,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",22.533333,346112,2,480,0,true,22,4,338,yuv444p,High 4:4:4 Predictive,15/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,640,0.6
30/1,73080,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",16.500000,253440,2,720,0,true,31,4,495,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1280,0.6
30/1,204126,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",11.166667,171520,2,720,0,true,31,4,335,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1280,0.6
25/1,278143,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/50,video,1088,1920,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",14.000000,179200,2,1080,0,true,40,4,350,yuv444p,High 4:4:4 Predictive,25/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/12800,1920,0.6
30/1,95022,8,left,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,h264,0x31637661,avc1,1/60,video,720,1280,,,,,,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}",16.800000,258048,2,720,0,true,31,4,504,yuv444p,High 4:4:4 Predictive,30/1,1,,0,0.000000,"{'language': 'und', 'handler_name': 'VideoHandler'}",1/15360,1280,0.6
